#{"t_start": 1768833489.4881475, "env_id": "None"}
r,l,t
100.0,1000,2.817662
100.0,1000,4.892518
100.0,1000,8.095684
100.0,1000,9.793458
100.0,1000,13.256107
100.0,1000,14.646943
100.0,1000,17.313341
100.0,1000,18.861403
100.0,1000,21.766095
100.0,1000,23.445
100.0,1000,26.017781
100.0,1000,27.341145
100.0,1000,30.095737
100.0,1000,31.411732
100.0,1000,34.242338
100.0,1000,35.58128
100.0,1000,38.203727
100.0,1000,39.522259
100.0,1000,42.086553
100.0,1000,43.452037
100.0,1000,46.005738
100.0,1000,47.334875
100.0,1000,49.960584
100.0,1000,51.261909
50.0,1,51.276653
100.0,1000,53.922773
100.0,1000,55.318973
100.0,1000,58.699829
100.0,1000,60.432136
100.0,1000,63.683953
100.0,1000,65.227036
100.0,1000,68.111944
100.0,1000,69.536184
100.0,1000,72.277946
100.0,1000,73.847287
100.0,1000,76.647216
100.0,1000,78.515886
100.0,1000,82.682899
100.0,1000,84.382182
100.0,1000,87.32664
100.0,1000,88.846382
50.0,1,88.849714
100.0,1000,91.878191
100.0,1000,93.764233
100.0,1000,96.073019
100.0,1000,100.526743
100.0,1000,102.44079
100.0,1000,106.425841
100.0,1000,108.154777
100.0,1000,111.720963
100.0,1000,113.32576
100.0,1000,117.132856
100.0,1000,118.954819
100.0,1000,122.648564
100.0,1000,124.48789
100.0,1000,127.856461
100.0,1000,129.289258
100.0,1000,132.660575
100.0,1000,134.453194
100.0,1000,137.351112
100.0,1000,139.426875
102.5,526,141.821671
100.0,1000,143.799031
100.0,1000,147.260574
100.0,1000,148.858336
100.0,1000,151.452837
100.0,1000,153.116516
100.0,1000,155.083157
100.0,1000,159.330258
100.0,1000,160.967646
100.0,1000,163.693504
100.0,1000,165.139742
100.0,1000,167.88156
100.0,1000,169.310935
100.0,1000,172.168097
100.0,1000,173.781755
100.0,1000,176.651502
100.0,1000,177.988166
100.0,1000,180.573018
100.0,1000,181.919718
100.0,1000,184.517247
100.0,1000,185.879108
100.0,1000,188.531005
100.0,1000,189.89015
100.0,1000,192.793217
100.0,1000,194.287112
100.0,1000,197.16692
100.0,1000,198.54814
100.0,1000,201.872418
100.0,1000,203.69066
100.0,1000,207.380651
100.0,1000,208.953452
100.0,1000,212.087436
100.0,1000,213.760254
100.0,1000,217.311818
100.0,1000,219.263424
100.0,1000,222.743923
100.0,1000,224.396971
100.0,1000,227.619784
100.0,1000,228.981754
100.0,1000,231.776895
100.0,1000,233.230862
100.0,1000,236.022819
100.0,1000,237.53375
100.0,1000,240.651866
100.0,1000,242.296634
